Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Source,EID
"Goferman S., Zelnik-Manor L., Tal A.","Context-aware saliency detection",2012,"IEEE Transactions on Pattern Analysis and Machine Intelligence",592,10.1109/TPAMI.2011.272,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865331032&doi=10.1109%2fTPAMI.2011.272&partnerID=40&md5=5838929f9239333c2d7e8e16b24753d0","We propose a new type of saliency-context-aware saliency-which aims at detecting the image regions that represent the scene. This definition differs from previous definitions whose goal is to either identify fixation points or detect the dominant object. In accordance with our saliency definition, we present a detection algorithm which is based on four principles observed in the psychological literature. The benefits of the proposed approach are evaluated in two applications where the context of the dominant objects is just as essential as the objects themselves. In image retargeting, we demonstrate that using our saliency prevents distortions in the important regions. In summarization, we show that our saliency helps to produce compact, appealing, and informative summaries. © 1979-2012 IEEE.","context aware.; Image saliency; visual saliency","Context-Aware; Detection algorithm; Fixation point; Image regions; Image retargeting; Image saliency; Saliency detection; Visual saliency; Artificial intelligence; Computer vision; algorithm; animal; article; bird; computer graphics; fish; human; image processing; methodology; vision; Algorithms; Animals; Birds; Computer Graphics; Fishes; Humans; Image Processing, Computer-Assisted; Visual Perception",Article,Scopus,2-s2.0-84865331032
"Akay B., Karaboga D.","A modified Artificial Bee Colony algorithm for real-parameter optimization",2012,"Information Sciences",456,10.1016/j.ins.2010.07.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857832525&doi=10.1016%2fj.ins.2010.07.015&partnerID=40&md5=33e2702b60aa2d71393f2f134cdc6f24","Swarm intelligence is a research field that models the collective intelligence in swarms of insects or animals. Many algorithms that simulates these models have been proposed in order to solve a wide range of problems. The Artificial Bee Colony algorithm is one of the most recent swarm intelligence based algorithms which simulates the foraging behaviour of honey bee colonies. In this work, modified versions of the Artificial Bee Colony algorithm are introduced and applied for efficiently solving real-parameter optimization problems. © 2010 Elsevier Inc. All rights reserved.","Artificial Bee Colony algorithm; Real-parameter optimization; Self-organization; Swarm intelligence","Artificial bee colony algorithms; Collective intelligences; Foraging behaviours; Honey bee; Real-parameter optimization; Research fields; Self-organization; Swarm Intelligence; Animals; Artificial intelligence; Optimization; Evolutionary algorithms",Article,Scopus,2-s2.0-84857832525
"Alexe B., Deselaers T., Ferrari V.","Measuring the objectness of image windows",2012,"IEEE Transactions on Pattern Analysis and Machine Intelligence",424,10.1109/TPAMI.2012.28,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866688216&doi=10.1109%2fTPAMI.2012.28&partnerID=40&md5=189f50fa552c5bf574d8d1dccf054ba3","We present a generic objectness measure, quantifying how likely it is for an image window to contain an object of any class. We explicitly train it to distinguish objects with a well-defined boundary in space, such as cows and telephones, from amorphous background elements, such as grass and road. The measure combines in a Bayesian framework several image cues measuring characteristics of objects, such as appearing different from their surroundings and having a closed boundary. These include an innovative cue to measure the closed boundary characteristic. In experiments on the challenging PASCAL VOC 07 dataset, we show this new cue to outperform a state-of-the-art saliency measure, and the combined objectness measure to perform better than any cue alone. We also compare to interest point operators, a HOG detector, and three recent works aiming at automatic object segmentation. Finally, we present two applications of objectness. In the first, we sample a small numberof windows according to their objectness probability and give an algorithm to employ them as location priors for modern class-specific object detectors. As we show experimentally, this greatly reduces the number of windows evaluated by the expensive class-specific model. In the second application, we use objectness as a complementary score in addition to the class-specific model, which leads to fewer false positives. As shown in several recent papers, objectness can act as a valuable focus of attention mechanism in many other applications operating on image windows, including weakly supervised learning of object categories, unsupervised pixelwise segmentation, and object tracking in video. Computing objectness is very efficient and takes only about 4 sec. per image. © 2012 IEEE.","object detection; object recognition; Objectness measure","Bayesian frameworks; Closed boundary; Data sets; False positive; Focus of Attention; Image window; Object categories; Object Detection; Object detectors; Object segmentation; Object Tracking; Objectness measure; Saliency measure; Weakly supervised learning; Object recognition; Image segmentation; algorithm; article; artificial intelligence; automated pattern recognition; Bayes theorem; computer assisted diagnosis; image enhancement; image subtraction; methodology; reproducibility; sensitivity and specificity; three dimensional imaging; Algorithms; Artificial Intelligence; Bayes Theorem; Image Enhancement; Image Interpretation, Computer-Assisted; Imaging, Three-Dimensional; Pattern Recognition, Automated; Reproducibility of Results; Sensitivity and Specificity; Subtraction Technique",Article,Scopus,2-s2.0-84866688216
"Saad M.A., Bovik A.C., Charrier C.","Blind image quality assessment: A natural scene statistics approach in the DCT domain",2012,"IEEE Transactions on Image Processing",415,10.1109/TIP.2012.2191563,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864127797&doi=10.1109%2fTIP.2012.2191563&partnerID=40&md5=70dd6cebda0efcb3fc7cfb68eaeba755","We develop an efficient general-purpose blind/no-reference image quality assessment (IQA) algorithm using a natural scene statistics (NSS) model of discrete cosine transform (DCT) coefficients. The algorithm is computationally appealing, given the availability of platforms optimized for DCT computation. The approach relies on a simple Bayesian inference model to predict image quality scores given certain extracted features. The features are based on an NSS model of the image DCT coefficients. The estimated parameters of the model are utilized to form features that are indicative of perceptual quality. These features are used in a simple Bayesian inference approach to predict quality scores. The resulting algorithm, which we name BLIINDS-II, requires minimal training and adopts a simple probabilistic model for score prediction. Given the extracted features from a test image, the quality score that maximizes the probability of the empirically determined inference model is chosen as the predicted quality score of that image. When tested on the LIVE IQA database, BLIINDS-II is shown to correlate highly with human judgments of quality, at a level that is competitive with the popular SSIM index. © 1992-2012 IEEE.","Discrete cosine transform (DCT); generalized Gaussian density; natural scene statistics; no-reference image quality assessment","Bayesian inference; Bayesian inference model; DCT coefficients; DCT domain; Discrete cosine transform coefficients; Estimated parameter; Form features; Generalized Gaussian density; Human judgments; Image quality assessment; Inference models; Minimal training; Natural scene statistics; No-reference image quality assessments; Perceptual quality; Probabilistic models; Test images; Algorithms; Bayesian networks; Discrete cosine transforms; Forecasting; Inference engines; Quality control; Image quality; algorithm; artificial intelligence; automated pattern recognition; computer assisted diagnosis; image enhancement; procedures; reproducibility; sensitivity and specificity; single blind procedure; statistical analysis; three dimensional imaging; article; automated pattern recognition; computer assisted diagnosis; methodology; three dimensional imaging; Algorithms; Artificial Intelligence; Data Interpretation, Statistical; Image Enhancement; Image Interpretation, Computer-Assisted; Imaging, Three-Dimensional; Pattern Recognition, Automated; Reproducibility of Results; Sensitivity and Specificity; Single-Blind Method; Algorithms; Artificial Intelligence; Data Interpretation, Statistical; Image Enhancement; Image Interpretation, Computer-Assisted; Imaging, Three-Dimensional; Pattern Recognition, Automated; Reproducibility of Results; Sensitivity and Specificity; Single-Blind Method",Article,Scopus,2-s2.0-84864127797
"Peng Y., Ganesh A., Wright J., Xu W., Ma Y.","RASL: Robust alignment by sparse and low-rank decomposition for linearly correlated images",2012,"IEEE Transactions on Pattern Analysis and Machine Intelligence",292,10.1109/TPAMI.2011.282,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866665730&doi=10.1109%2fTPAMI.2011.282&partnerID=40&md5=2aa11b9f54fe2563ab09d78449275880","This paper studies the problem of simultaneously aligning a batch of linearly correlated images despite gross corruption (such as occlusion). Our method seeks an optimal set of image domain transformations such that the matrix of transformed images can be decomposed as the sum of a sparse matrix of errors and a low-rank matrix of recovered aligned images. We reduce this extremely challenging optimization problem to a sequence of convex programs that minimize the sum of\ell-1-norm and nuclear norm of the two component matrices, which can be efficiently solved by scalable convex optimization techniques. We verify the efficacy of the proposed robust alignment algorithm with extensive experiments on both controlled and uncontrolled real data, demonstrating higher accuracy and efficiency than existing methods over a wide range of realistic misalignments and corruptions. © 2012 IEEE.","Batch image alignment; low-rank matrix; occlusion and corruption; robust principal component analysis; sparse errors","Aligned images; Alignment algorithms; Convex optimization techniques; Convex programs; Image alignment; Image domain; Low-rank decomposition; Low-rank matrices; occlusion and corruption; Optimal sets; Optimization problems; Robust principal component analysis; Sparse matrices; Two-component; Alignment; Crime; Errors; Optimization; Principal component analysis; Linear transformations; algorithm; article; artifact; artificial intelligence; automated pattern recognition; image enhancement; image subtraction; methodology; reproducibility; sensitivity and specificity; statistical model; statistics; three dimensional imaging; Algorithms; Artifacts; Artificial Intelligence; Image Enhancement; Imaging, Three-Dimensional; Linear Models; Pattern Recognition, Automated; Reproducibility of Results; Sensitivity and Specificity; Statistics as Topic; Subtraction Technique",Article,Scopus,2-s2.0-84866665730
"Li X., Yao X.","Cooperatively coevolving particle swarms for large scale optimization",2012,"IEEE Transactions on Evolutionary Computation",287,10.1109/TEVC.2011.2112662,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859719176&doi=10.1109%2fTEVC.2011.2112662&partnerID=40&md5=e43df835eec9fdac2877bcaded0bf0b7","This paper presents a new cooperative coevolving particle swarm optimization (CCPSO) algorithm in an attempt to address the issue of scaling up particle swarm optimization (PSO) algorithms in solving large-scale optimization problems (up to 2000 real-valued variables). The proposed CCPSO2 builds on the success of an early CCPSO that employs an effective variable grouping technique random grouping. CCPSO2 adopts a new PSO position update rule that relies on Cauchy and Gaussian distributions to sample new points in the search space, and a scheme to dynamically determine the coevolving subcomponent sizes of the variables. On high-dimensional problems (ranging from 100 to 2000 variables), the performance of CCPSO2 compared favorably against a state-of-the-art evolutionary algorithm sep-CMA-ES, two existing PSO algorithms, and a cooperative coevolving differential evolution algorithm. In particular, CCPSO2 performed significantly better than sep-CMA-ES and two existing PSO algorithms on more complex multimodal problems (which more closely resemble real-world problems), though not as well as the existing algorithms on unimodal functions. Our experimental results and analysis suggest that CCPSO2 is a highly competitive optimization algorithm for solving large-scale and complex multimodal optimization problems. © 2011 IEEE.","Cooperative coevolution; evolutionary algorithms; large-scale optimization; particle swarm optimization; swarm intelligence","Cooperative co-evolution; Differential evolution algorithms; Effective variables; Grouping technique; High-dimensional problems; Large-scale optimization; Multimodal optimization problems; Multimodal problems; Optimization algorithms; Particle swarm; Particle swarm optimization algorithm; PSO algorithms; Random grouping; Real-valued variables; Real-world problem; Scaling-up; Search spaces; Swarm Intelligence; Unimodal functions; Algorithms; Artificial intelligence; Evolutionary algorithms; Particle swarm optimization (PSO)",Article,Scopus,2-s2.0-84859719176
"Hinton G.E.","A practical guide to training restricted boltzmann machines",2012,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",249,10.1007/978-3-642-35289-8-32,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872506495&doi=10.1007%2f978-3-642-35289-8-32&partnerID=40&md5=bb680a2a7b62095c7f83cb7c9aa75b4e","Restricted Boltzmann machines (RBMs) have been used as generative models of many different types of data. RBMs are usually trained using the contrastive divergence learning procedure. This requires a certain amount of practical experience to decide how to set the values of numerical meta-parameters. Over the last few years, the machine learning group at the University of Toronto has acquired considerable expertise at training RBMs and this guide is an attempt to share this expertise with other machine learning researchers. © Springer-Verlag Berlin Heidelberg 2012.",,"Contrastive divergence; Generative model; Learning procedures; Practical experience; Practical guide; Restricted boltzmann machine; University of Toronto; Artificial intelligence; Learning systems",Article,Scopus,2-s2.0-84872506495
"Guha T., Ward R.K.","Learning sparse representations for human action recognition",2012,"IEEE Transactions on Pattern Analysis and Machine Intelligence",186,10.1109/TPAMI.2011.253,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862649818&doi=10.1109%2fTPAMI.2011.253&partnerID=40&md5=55f1de81a73f1797298910cf3d2058b7","This paper explores the effectiveness of sparse representations obtained by learning a set of overcomplete basis (dictionary) in the context of action recognition in videos. Although this work concentrates on recognizing human movementsphysical actions as well as facial expressionsthe proposed approach is fairly general and can be used to address other classification problems. In order to model human actions, three overcomplete dictionary learning frameworks are investigated. An overcomplete dictionary is constructed using a set of spatio-temporal descriptors (extracted from the video sequences) in such a way that each descriptor is represented by some linear combination of a small number of dictionary elements. This leads to a more compact and richer representation of the video sequences compared to the existing methods that involve clustering and vector quantization. For each framework, a novel classification algorithm is proposed. Additionally, this work also presents the idea of a new local spatio-temporal feature that is distinctive, scale invariant, and fast to compute. The proposed approach repeatedly achieves state-of-the-art results on several public data sets containing various physical actions and facial expressions. © 2012 IEEE.","Action recognition; dictionary learning; expression recognition; orthogonal matching pursuit; overcomplete; sparse representation; spatio-temporal descriptors","Action recognition; Descriptors; Dictionary learning; Expression recognition; Orthogonal matching pursuit; Over-complete; Sparse representation; Gesture recognition; Image recognition; Vector quantization; Video recording; Motion estimation; algorithm; article; artificial intelligence; automated pattern recognition; dancing; facial expression; factual database; human; image processing; methodology; movement (physiology); nomenclature; sport; theoretical model; videorecording; Algorithms; Artificial Intelligence; Dancing; Databases, Factual; Facial Expression; Humans; Image Processing, Computer-Assisted; Models, Theoretical; Movement; Pattern Recognition, Automated; Sports; Terminology as Topic; Video Recording",Article,Scopus,2-s2.0-84862649818
"Stallkamp J., Schlipsing M., Salmen J., Igel C.","Man vs. computer: Benchmarking machine learning algorithms for traffic sign recognition",2012,"Neural Networks",179,10.1016/j.neunet.2012.02.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861783004&doi=10.1016%2fj.neunet.2012.02.016&partnerID=40&md5=98f868ae3ed59f2b9150da01e84c5ef5","Traffic signs are characterized by a wide variability in their visual appearance in real-world environments. For example, changes of illumination, varying weather conditions and partial occlusions impact the perception of road signs. In practice, a large number of different sign classes needs to be recognized with very high accuracy. Traffic signs have been designed to be easily readable for humans, who perform very well at this task. For computer systems, however, classifying traffic signs still seems to pose a challenging pattern recognition problem. Both image processing and machine learning algorithms are continuously refined to improve on this task. But little systematic comparison of such systems exist. What is the status quo? Do today's algorithms reach human performance? For assessing the performance of state-of-the-art machine learning algorithms, we present a publicly available traffic sign dataset with more than 50,000 images of German road signs in 43 classes. The data was considered in the second stage of the German Traffic Sign Recognition Benchmark held at IJCNN 2011. The results of this competition are reported and the best-performing algorithms are briefly described. Convolutional neural networks (CNNs) showed particularly high classification accuracies in the competition. We measured the performance of human subjects on the same data-and the CNNs outperformed the human test persons. © 2012 Elsevier Ltd.","Benchmarking; Convolutional neural networks; Machine learning; Traffic sign recognition","Classification accuracy; Convolutional neural network; Data sets; Human performance; Human subjects; Partial occlusions; Pattern recognition problems; Real world environments; Road signs; Status quo; Traffic sign recognition; Visual appearance; Weather conditions; Benchmarking; Image processing; Learning systems; Neural networks; Pattern recognition; Roads and streets; Traffic signs; Visualization; Learning algorithms; article; artificial neural network; classification algorithm; computer interface; discriminant analysis; human; human computer interaction; image analysis; image display; image processing; learning algorithm; online system; priority journal; quality control; traffic sign recognition; Algorithms; Artifacts; Artificial Intelligence; Automobile Driving; Benchmarking; Computer Graphics; Computers; Data Collection; Databases, Factual; Germany; Humans; Image Processing, Computer-Assisted; Pattern Recognition, Automated; Psychomotor Performance; Trees",Article,Scopus,2-s2.0-84861783004
"Zhang K., Gao X., Tao D., Li X.","Single image super-resolution with non-local means and steering kernel regression",2012,"IEEE Transactions on Image Processing",175,10.1109/TIP.2012.2208977,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867853644&doi=10.1109%2fTIP.2012.2208977&partnerID=40&md5=cb9ba38da37f5574bde0b970599a1ef6","Image super-resolution (SR) reconstruction is essentially an ill-posed problem, so it is important to design an effective prior. For this purpose, we propose a novel image SR method by learning both non-local and local regularization priors from a given low-resolution image. The non-local prior takes advantage of the redundancy of similar patches in natural images, while the local prior assumes that a target pixel can be estimated by a weighted average of its neighbors. Based on the above considerations, we utilize the non-local means filter to learn a non-local prior and the steering kernel regression to learn a local prior. By assembling the two complementary regularization terms, we propose a maximum a posteriori probability framework for SR recovery. Thorough experimental results suggest that the proposed SR method can reconstruct higher quality results both quantitatively and perceptually. © 2012 IEEE.","Image super-resolution; non-local means; regularization prior; self-similarity; steering kernel regression","Image super-resolution; Kernel regression; Nonlocal; regularization prior; Self-similarities; Probability distributions; Regression analysis; Optical resolving power; algorithm; animal; article; artificial intelligence; automated pattern recognition; factual database; human; image processing; methodology; regression analysis; reproducibility; Algorithms; Animals; Artificial Intelligence; Databases, Factual; Humans; Image Processing, Computer-Assisted; Pattern Recognition, Automated; Regression Analysis; Reproducibility of Results",Article,Scopus,2-s2.0-84867853644
